metric,threshold,eval_interval,cooldown,map_strategy,lambda_comm,num_triggers,trigger_rate,avg_savings_ms,total_savings_ms,avg_metric_val,avg_wasted_ms,avg_comm_ms,run,world_size
wasted_fraction,0.03,10,50,round_robin,0.0,0,0.0,0.0,0.0,0.011663699646224742,0.19145916977691968,0.043325248,phase1_2gpu,2
wasted_fraction,0.03,10,50,round_robin,0.5,0,0.0,0.0,0.0,0.011663699646224742,0.19145916977691968,0.043325248,phase1_2gpu,2
wasted_fraction,0.03,10,50,round_robin,1.0,0,0.0,0.0,0.0,0.011663699646224742,0.19145916977691968,0.043325248,phase1_2gpu,2
wasted_fraction,0.03,10,50,load_sorted,0.0,0,0.0,0.0,0.0,0.0022712004189362335,0.03681528508820975,0.042928192,phase1_2gpu,2
wasted_fraction,0.03,10,50,load_sorted,0.5,0,0.0,0.0,0.0,0.0022712004189362335,0.03681528508820975,0.042928192,phase1_2gpu,2
wasted_fraction,0.03,10,50,load_sorted,1.0,0,0.0,0.0,0.0,0.0022712004189362335,0.03681528508820975,0.042928192,phase1_2gpu,2
wasted_fraction,0.03,10,100,round_robin,0.0,0,0.0,0.0,0.0,0.011663699646224742,0.19145916977691968,0.043325248,phase1_2gpu,2
wasted_fraction,0.03,10,100,round_robin,0.5,0,0.0,0.0,0.0,0.011663699646224742,0.19145916977691968,0.043325248,phase1_2gpu,2
wasted_fraction,0.03,10,100,round_robin,1.0,0,0.0,0.0,0.0,0.011663699646224742,0.19145916977691968,0.043325248,phase1_2gpu,2
wasted_fraction,0.03,10,100,load_sorted,0.0,0,0.0,0.0,0.0,0.0022712004189362335,0.03681528508820975,0.042928192,phase1_2gpu,2
wasted_fraction,0.03,10,100,load_sorted,0.5,0,0.0,0.0,0.0,0.0022712004189362335,0.03681528508820975,0.042928192,phase1_2gpu,2
wasted_fraction,0.03,10,100,load_sorted,1.0,0,0.0,0.0,0.0,0.0022712004189362335,0.03681528508820975,0.042928192,phase1_2gpu,2
wasted_fraction,0.03,10,200,round_robin,0.0,0,0.0,0.0,0.0,0.011663699646224742,0.19145916977691968,0.043325248,phase1_2gpu,2
wasted_fraction,0.03,10,200,round_robin,0.5,0,0.0,0.0,0.0,0.011663699646224742,0.19145916977691968,0.043325248,phase1_2gpu,2
wasted_fraction,0.03,10,200,round_robin,1.0,0,0.0,0.0,0.0,0.011663699646224742,0.19145916977691968,0.043325248,phase1_2gpu,2
wasted_fraction,0.03,10,200,load_sorted,0.0,0,0.0,0.0,0.0,0.0022712004189362335,0.03681528508820975,0.042928192,phase1_2gpu,2
wasted_fraction,0.03,10,200,load_sorted,0.5,0,0.0,0.0,0.0,0.0022712004189362335,0.03681528508820975,0.042928192,phase1_2gpu,2
wasted_fraction,0.03,10,200,load_sorted,1.0,0,0.0,0.0,0.0,0.0022712004189362335,0.03681528508820975,0.042928192,phase1_2gpu,2
wasted_fraction,0.03,20,50,round_robin,0.0,0,0.0,0.0,0.0,0.011663699646224742,0.19145916977691968,0.043325248,phase1_2gpu,2
wasted_fraction,0.03,20,50,round_robin,0.5,0,0.0,0.0,0.0,0.011663699646224742,0.19145916977691968,0.043325248,phase1_2gpu,2
wasted_fraction,0.03,20,50,round_robin,1.0,0,0.0,0.0,0.0,0.011663699646224742,0.19145916977691968,0.043325248,phase1_2gpu,2
wasted_fraction,0.03,20,50,load_sorted,0.0,0,0.0,0.0,0.0,0.0022712004189362335,0.03681528508820975,0.042928192,phase1_2gpu,2
wasted_fraction,0.03,20,50,load_sorted,0.5,0,0.0,0.0,0.0,0.0022712004189362335,0.03681528508820975,0.042928192,phase1_2gpu,2
wasted_fraction,0.03,20,50,load_sorted,1.0,0,0.0,0.0,0.0,0.0022712004189362335,0.03681528508820975,0.042928192,phase1_2gpu,2
wasted_fraction,0.03,20,100,round_robin,0.0,0,0.0,0.0,0.0,0.011663699646224742,0.19145916977691968,0.043325248,phase1_2gpu,2
wasted_fraction,0.03,20,100,round_robin,0.5,0,0.0,0.0,0.0,0.011663699646224742,0.19145916977691968,0.043325248,phase1_2gpu,2
wasted_fraction,0.03,20,100,round_robin,1.0,0,0.0,0.0,0.0,0.011663699646224742,0.19145916977691968,0.043325248,phase1_2gpu,2
wasted_fraction,0.03,20,100,load_sorted,0.0,0,0.0,0.0,0.0,0.0022712004189362335,0.03681528508820975,0.042928192,phase1_2gpu,2
wasted_fraction,0.03,20,100,load_sorted,0.5,0,0.0,0.0,0.0,0.0022712004189362335,0.03681528508820975,0.042928192,phase1_2gpu,2
wasted_fraction,0.03,20,100,load_sorted,1.0,0,0.0,0.0,0.0,0.0022712004189362335,0.03681528508820975,0.042928192,phase1_2gpu,2
wasted_fraction,0.03,20,200,round_robin,0.0,0,0.0,0.0,0.0,0.011663699646224742,0.19145916977691968,0.043325248,phase1_2gpu,2
